VMag,Plx,e_Plx,B-V,SpType,Amag,TargetClass
6.57,5.22,1.22,0.055999999999999994,A0V,15.158351999999999,1
8.79,5.53,1.12,0.33299999999999996,F0V,17.503626,1
7.17,16.15,0.6,0.5870000000000001,F8/G0V,18.210863,1
6.36,17.34,0.71,0.457,F4V,17.555244000000002,1
8.47,0.47,0.94,-0.18,B1.5IV,11.83049,1
4.34,23.73,0.68,0.17,A7Vvar,16.216488000000002,1
8.74,6.25,1.07,0.556,F8IV,17.7194,1
8.71,-2.76,1.15,0.336,B8V,15.914546,1
9.17,5.45,1.34,0.5579999999999999,F6V,17.851982,1
9.19,3.89,1.24,0.45299999999999996,F3V,17.139748,1
9.21,6.04,1.17,0.795,G8V,18.115185,1
9.19,8.06,1.33,0.626,G1V,18.721676000000002,1
9.38,3.36,1.54,0.187,O8V,17.011696,1
8.22,4.65,0.98,1.016,K0III-IV,16.557266000000002,1
7.33,25.39,0.62,0.629,G1V,19.353313,1
6.25,16.16,0.96,0.526,F6/F7V,17.292206,1
7.92,27.0,1.05,0.6559999999999999,G5V,20.07682,1
9.56,99.44,1.39,1.463,K5V...,24.547806,1
8.67,7.85,1.17,0.513,F5V,18.144348,1
7.85,19.99,0.94,0.539,F7/F8V,19.354063,1
7.73,19.78,0.87,0.537,G0V,19.211132,1
9.45,0.17,1.18,1.361,K2/K3IV,10.602244,1
7.51,4.76,0.98,1.473,K4V,15.898035,1
8.83,5.7,1.16,0.479,F3V,17.609375,1
9.0,10.61,1.45,0.5660000000000001,G1V,19.128576000000002,1
8.7,10.52,0.76,0.42700000000000005,F3V,18.810078,1
8.55,7.02,0.73,0.34700000000000003,F0IV/V,17.781685,1
9.21,2.88,1.29,0.5770000000000001,F6V,16.506961999999998,1
9.95,1.95,3.5,0.428,F3V,16.400173000000002,1
8.97,5.34,1.97,1.3,G0V,17.607706,1
5.22,35.92,0.69,0.35,F0V,17.996681,1
9.22,3.83,1.45,0.8640000000000001,G6IV,17.135994,1
8.32,3.76,1.26,0.1,A1V,16.195938,1
7.93,11.18,0.94,0.495,F8V,18.172209,1
7.47,14.53,1.21,0.55,F8V,18.281328,1
8.14,8.12,0.82,0.433,F3V,17.68778,1
9.04,6.58,2.55,0.36,G0V,18.13113,1
8.76,12.01,1.22,0.534,F6V,19.157715,1
9.68,6.87,1.5,0.455,F2IV/V,18.864784,1
10.11,7.4,1.65,0.5660000000000001,G1V,19.456158,1
9.16,9.14,1.53,0.922,G8IV,18.964731,1
9.07,9.23,1.05,0.503,F7V,18.896008,1
7.93,7.28,0.97,0.436,F2V,17.240656,1
9.92,0.33,2.39,0.632,F7V,12.512569000000001,1
8.65,12.6,1.06,0.539,G0V,19.151851999999998,1
6.91,16.79,0.57,0.37799999999999995,F2IV/V,18.035254000000002,1
9.81,0.93,1.43,0.27699999999999997,A8/A9V,14.652415,1
6.55,45.76,0.56,0.655,G3V,19.85243,1
8.78,13.4,0.76,0.602,G1V,19.415523999999998,1
9.69,1.81,1.24,0.894,G8/K0IV/V,15.978392000000001,1
8.84,8.49,0.96,0.759,G6/G8III/IVe,18.484539,1
9.11,1.74,1.18,0.99,G8IV,15.312745999999999,1
9.46,9.9,1.38,0.546,G1V,19.438175,1
10.17,2.69,1.46,0.47200000000000003,F3IV/V,17.318762,1
8.5,12.24,1.15,0.573,F8V,18.938907999999998,1
9.69,7.74,0.95,0.72,G2V:,19.133705,1
9.94,5.79,1.56,0.642,G2/G3V,18.753391,1
6.46,10.15,0.49,0.107,A3V,16.492329,1
8.11,1.98,1.07,0.168,B9IV,14.593326000000001,1
9.16,7.72,1.4,0.44799999999999995,F3V,18.598087,1
9.16,7.35,1.28,0.504,F5V,18.491436,1
9.74,5.61,1.61,0.737,G3V,18.484814,1
7.0,9.36,0.88,0.534,F7IV,16.856379,1
8.88,11.6,0.96,0.5429999999999999,F6V,19.202289999999998,1
6.45,21.17,0.56,0.386,F2V,18.078604000000002,1
9.78,-0.95,1.96,0.504,F6V,14.668617000000001,1
8.75,7.24,1.32,0.48700000000000004,F6/F7V,18.048693,1
9.0,5.47,0.93,0.415,F3V,17.689938,1
8.91,5.94,1.73,0.47,F5V,17.77893,1
9.09,5.56,3.66,0.659,G2V,17.815374,1
8.83,5.72,2.06,0.6,F6/F7V,17.616979999999998,1
9.75,7.24,1.16,0.612,F7/F8V:,19.048693,1
9.84,5.59,1.26,0.723,G8V,18.57706,1
5.89,8.17,0.84,1.031,K0III-IV,15.451111,1
9.54,5.68,1.34,0.495,F7/F8V,18.31174,1
8.68,17.32,1.19,0.638,G3/G5V,19.87274,1
9.11,10.52,1.23,0.6970000000000001,G6V,19.220078,1
5.89,3.81,0.71,-0.146,B2.5IV,13.794623999999999,1
9.5,5.41,2.4,0.6459999999999999,G2/G3V,18.165985,1
9.7,8.82,1.54,0.624,F8/G0V,19.427341000000002,1
7.18,3.02,0.91,1.31,K0IV,14.580034,1
10.16,24.83,1.91,1.19,K7V:,22.134884,1
9.81,7.09,1.69,0.622,G3V,19.063232,1
9.83,1.13,1.95,0.555,G0V,15.095392000000002,1
6.44,21.53,0.83,0.847,K0IV,18.105220000000003,1
9.52,3.67,1.45,0.44,F3V,17.343329999999998,1
8.52,12.13,1.36,0.608,G0V,18.939304,1
8.98,3.54,1.3,0.569,F7V,16.725016,1
8.07,4.95,1.26,0.87,F7V,16.543026,1
8.85,14.35,1.26,0.557,F8/G0V,19.63426,1
8.81,7.5,1.2,0.5489999999999999,F7V,18.185307,1
8.49,2.12,1.14,0.385,F2/F3IV/V,15.121679,1
9.15,27.05,1.23,0.887,K2V,21.310837,1
8.38,4.33,1.15,-0.06,B9V,16.562439,1
7.01,7.7,0.81,1.078,K1IV,16.442453,1
6.54,14.04,0.81,0.46799999999999997,F5IV,17.276836,1
5.64,18.9,0.71,0.537,F8IV,17.022308,1
9.79,8.38,1.45,0.555,F8V,19.40622,1
8.87,18.19,1.45,0.7020000000000001,G3V,20.169163,1
8.03,7.01,0.93,0.237,A5III/IV,17.258589999999998,1
5.07,41.8,0.75,0.502,F8V...,18.17588,1
7.66,20.44,0.96,0.741,G5IV,19.212406,1
10.12,4.35,1.6,0.48,F3/F5V,18.312447,1
7.94,4.94,2.9,0.21,A5V,16.408635999999998,1
9.43,10.6,0.93,0.588,G0V,19.55653,1
8.91,-0.39,0.92,1.5759999999999998,K4/K5V:,11.865322,1
8.06,7.75,0.97,0.37,F0V,17.506508,1
7.31,14.28,0.92,0.493,F6V,18.083641,1
8.28,9.62,0.72,0.435,F3V,18.195875,1
6.77,11.85,0.88,0.32799999999999996,F0Vn,17.138592000000003,1
9.09,4.26,1.28,0.44,F3V,17.23705,1
8.41,3.88,2.01,0.486,F5V,16.354157999999998,1
9.92,2.35,2.69,0.513,F6IV:,16.77534,1
8.88,6.88,1.18,0.455,F5V,18.067944,1
8.95,7.26,0.95,0.513,F5V,18.254684,1
7.89,9.01,0.94,1.0270000000000001,K0IV,17.663624,1
9.88,10.53,2.99,0.545,F7/F8IV/V,19.992142,1
9.1,7.46,1.0,0.41700000000000004,F3V,18.463696,1
9.47,1.88,1.11,0.981,G6/G8IV,15.84079,1
10.28,6.72,2.13,0.405,F6/F7IV/V,19.416847,1
8.7,0.33,1.13,1.064,K0III/IV,11.29257,1
5.75,33.71,0.72,0.639,G2IV,18.388794,1
4.34,4.97,0.82,-0.12300000000000001,B5V,12.821781,1
8.4,0.8,1.84,0.413,F2IV/V,12.915449,1
9.68,8.45,1.91,0.585,G2V,19.314285,1
9.97,5.66,1.49,0.5770000000000001,F7V,18.734081,1
5.56,7.96,0.6,-0.052000000000000005,B9.5V,15.064566000000001,1
8.65,6.33,1.19,0.6579999999999999,G3V,17.657019000000002,1
8.98,8.11,1.3,0.48,F3V,18.525105,1
9.32,7.38,1.42,0.529,F3/F5V,18.660282000000002,1
8.61,1.24,1.12,0.978,G8III/IV,14.077107999999999,1
9.17,5.21,1.27,0.45799999999999996,F5V,17.754189,1
8.71,13.15,0.85,0.614,G1/G2V,19.30463,1
7.51,18.58,0.97,0.607,G0V,18.855228,1
9.45,4.4,1.05,0.434,F2V,17.667263000000002,1
7.31,6.73,0.9,0.402,F2IV,16.450075,1
8.82,13.43,1.16,0.537,F8IV,19.460379999999997,1
9.59,3.26,1.37,0.40700000000000003,F2V,17.15609,1
9.7,5.97,1.38,0.893,G8V,18.579872,1
4.4,13.44,0.75,0.94,G8III-IV,15.041996,1
9.15,2.56,1.17,0.972,G8IV,16.1912,1
9.96,-0.79,1.91,0.38799999999999996,F0V,14.448135,1
9.66,3.53,1.48,0.47,F2V,17.398874,1
12.38,16.71,5.59,1.339,M0V:,23.494882999999998,1
9.04,1.77,1.11,0.95,G8III/IV,15.279866,1
7.44,6.1,0.67,0.44299999999999995,F3V,16.36665,1
7.45,10.64,0.9,0.48,F5IV/V,17.58471,1
9.75,15.12,1.49,0.8140000000000001,G8IV,20.647758,1
9.69,3.11,13.51,0.40299999999999997,F0/F2V,17.153801,1
9.47,12.6,1.4,0.6779999999999999,G5V,19.971851,1
9.37,16.01,1.34,0.737,G8V,20.391956,1
8.62,5.37,1.13,0.364,F0IV/V,17.26987,1
5.04,6.4,0.87,-0.15,B4V,14.0709,1
7.74,26.42,0.61,0.754,G8V,19.849663,1
8.66,37.6,2.02,1.197,K2V,21.535938,1
9.09,16.75,1.37,0.763,G8V,20.210073,1
8.93,11.52,1.2,0.64,G2/G3V,19.237263000000002,1
9.85,1.1,1.55,0.74,G8IV/V,15.056964,1
7.68,2.96,0.87,1.57,K2V,15.036458999999999,1
9.21,0.53,1.02,0.142,A0V,12.831379,1
9.21,6.6,1.1,0.38,F0IV/V,18.30772,1
9.68,9.53,1.39,0.502,F6V,19.575464,1
8.8,6.35,1.36,0.725,G3/G5V,17.81387,1
5.7,13.25,0.71,1.005,K0IV,16.311076999999997,1
5.96,22.42,0.67,0.419,F5V,17.713176999999998,1
5.5,10.65,0.51,-0.046,B9V,15.636747,1
7.63,16.91,1.15,0.47100000000000003,F3V,18.770718,1
8.6,15.08,1.1,0.7,G6V,19.492008,1
6.21,30.26,0.69,0.504,F8IV,18.614345999999998,1
9.38,5.23,0.93,0.478,F3V,17.972507,1
9.35,12.68,1.23,0.748,K0/1V (+K),19.865597,1
8.62,2.87,1.11,0.196,A3V,15.9094095,1
9.05,9.0,1.59,0.516,F5V,18.821213,1
5.14,41.01,0.89,0.44799999999999995,F5V,18.204449,1
11.94,12.12,4.89,1.093,K7V:,22.357513,1
8.72,9.95,4.09,0.428,A9/F0V,18.709114000000003,1
6.23,9.69,0.59,0.052000000000000005,A0V,16.161620000000003,1
8.8,13.31,1.1,0.618,G0V,19.42089,1
8.11,5.9,1.04,0.9059999999999999,G8III/IV,16.96426,1
9.3,5.62,1.08,0.409,F2V,18.048683,1
4.53,4.8,0.75,-0.136,B5V SB,12.936207000000001,1
7.94,2.79,0.95,-0.023,B2IVne+...,15.168021,1
9.43,6.64,0.93,0.513,F6V,18.54084,1
8.93,24.32,0.85,0.797,K1V,20.859818,1
8.66,4.6,1.09,0.16,A3Vn,16.97379,1
7.42,5.97,0.83,-0.016,A0V,16.299871,1
8.44,5.04,0.79,0.556,F6IV/V,16.952151999999998,1
10.36,52.71,5.18,1.34,K6V:,23.969465,1
9.53,7.31,1.24,0.54,F7V,18.849586,1
7.36,12.53,0.72,0.36,F2V,17.849754,1
9.6,1.52,1.75,0.496,F5/F6V,15.509217999999999,1
8.27,7.77,2.24,0.517,F6IV/V,17.722107,1
9.39,7.99,1.25,0.605,G1V,18.902732999999998,1
9.63,12.73,1.69,0.8270000000000001,K1IV,20.154139999999998,1
9.39,4.39,1.51,0.44799999999999995,F2V,17.602322,1
8.37,20.73,0.7,0.6559999999999999,G5V,19.952995,1
9.39,5.2,4.03,0.45899999999999996,F3V,17.970016,1
9.77,6.67,1.5,0.306,A8/A9V,18.890629,1
8.77,8.12,1.13,0.551,F6/F7V,18.31778,1
9.2,8.8,0.9,0.573,G0V,18.922413,1
5.96,9.89,0.88,0.851,G5V...,15.935982000000001,1
6.68,20.41,0.58,0.987,K0IV,18.229216,1
7.53,11.79,0.68,0.455,F5IV,17.88757,1
9.4,9.99,1.31,0.598,G5V,19.397827,1
9.36,19.65,1.47,0.9279999999999999,K2V,20.826813,1
9.83,10.07,1.54,0.618,G5V,19.845146,1
8.84,8.87,1.28,0.517,F6V,18.579618,1
9.24,63.03,1.98,1.39,M0V,23.237735999999998,1
9.38,2.68,1.17,0.068,A2V,16.520674,1
7.94,9.03,1.29,0.392,F3IV/V,17.71844,1
8.93,3.21,0.78,-0.028999999999999998,B9IV/V,16.462524,1
9.1,5.76,1.26,0.682,G0V,17.902113,1
8.88,2.54,1.01,0.0,A1V,15.904169,1
9.0,5.6,1.24,0.457,F4V,17.74094,1
9.39,7.04,1.42,0.552,G2/G3V,18.627865,1
9.23,12.36,1.33,0.737,G5VCN...,19.690092,1
7.95,6.12,0.97,1.067,K0III-IV,16.883757,1
5.77,9.4,0.78,-0.084,B9V,15.635639000000001,1
9.8,5.68,1.44,0.406,F2V,18.571742999999998,1
5.5,14.39,0.73,0.083,A1/A2IV,16.290304000000003,1
8.52,16.26,0.98,0.687,G3V,19.575603,1
9.06,1.28,4.29,0.57,G3V,14.59605,1
6.48,5.16,0.8,0.122,A3V,15.043249,1
8.86,9.06,1.17,0.395,F3III/IV,18.645641,1
8.55,7.31,0.77,0.41700000000000004,F2/F3V,17.869587,1
8.63,4.42,1.32,1.194,K1/K2III/IV,16.857111,1
9.72,3.88,4.35,0.7240000000000001,G3V,17.66416,1
9.59,10.29,1.4,0.685,G8IV/V,19.652077,1
9.84,5.98,3.04,0.5379999999999999,F7V,18.723507,1
9.23,8.23,0.88,0.633,F7V,18.807000000000002,1
9.29,5.12,1.29,0.084,B9V,17.83635,1
9.32,6.33,1.03,0.45399999999999996,F5V,18.327019,1
7.45,34.3,0.89,0.726,G8V,20.126469,1
9.79,10.73,1.65,0.545,G2V,19.942997000000002,1
8.49,5.91,0.94,0.431,F2V,17.347939,1
7.58,3.64,0.94,1.271,K1IV,15.385507999999998,1
7.86,13.73,0.88,0.48700000000000004,F6V,18.548353,1
7.79,39.16,1.11,0.8320000000000001,K0V,20.754210999999998,1
12.49,22.93,5.47,1.34,M0V:,24.292019,1
9.36,5.32,1.09,0.662,G1V,17.98956,1
8.35,14.33,0.98,0.55,G0V,19.131231,1
10.01,17.3,1.52,1.075,K7V:,21.200232,1
7.9,4.39,0.96,-0.03,B9V,16.112322,1
8.41,16.24,0.7,0.588,G2V,19.46293,1
3.95,20.12,0.56,-0.002,A2V,15.46814,1
9.85,2.67,1.59,0.513,F6V,16.982557,1
8.9,10.19,1.29,0.675,G5V,18.94087,1
9.95,0.6,1.66,0.251,B8V,13.840755999999999,1
8.76,22.86,0.87,0.743,G6V,20.555382,1
8.07,23.61,1.03,0.6509999999999999,G3/G5V,19.93548,1
7.6,5.91,1.04,1.064,G8IV,16.457937,1
8.6,16.82,2.26,0.612,G2V,19.729129999999998,1
8.6,11.16,1.52,0.48100000000000004,F3V,18.838322,1
7.37,21.91,0.82,0.539,F7V,19.073211999999998,1
3.86,23.93,1.22,0.13,A5V,15.754713,1
9.53,7.42,1.19,0.41,F2/F3V,18.882019,1
8.69,13.03,0.75,0.586,G1/G2V,19.26472,1
7.81,7.56,0.99,0.449,F5V,17.202607999999998,1
9.27,5.71,1.0,1.03,K1IV,18.053179999999998,1
9.37,6.49,1.73,0.772,G8IV/V,18.431223000000003,1
8.14,14.25,0.83,0.593,G0V,18.909073,1
9.31,5.31,1.31,0.573,F8V,17.935474,1
8.34,3.86,2.85,0.158,B9IV,16.272938,1
9.8,5.93,1.51,0.586,G3V,18.665274,1
9.31,13.63,1.25,0.733,G8IV/V,19.98248,1
6.08,11.94,0.74,0.133,A5IV,16.465023000000002,1
7.21,18.56,0.95,0.496,F8V,18.552889999999998,1
9.8,5.9,1.35,0.536,F6V,18.65426,1
8.36,5.61,1.87,0.441,F3V,17.104813,1
8.94,5.12,1.25,0.6759999999999999,G3V,17.486351000000003,1
7.27,8.4,0.97,0.44799999999999995,F3/F5V,16.891396,1
8.42,7.13,1.06,0.425,F2V,17.685448,1
8.98,4.23,1.38,0.483,F5V,17.111701999999998,1
9.69,9.67,1.46,0.703,G8IV/V,19.61713,1
8.3,14.6,0.75,0.619,G0V,19.121765,1
9.27,5.77,1.1,0.503,F5V,18.075879999999998,1
9.72,1.62,1.45,0.45799999999999996,F2V,15.767575,1
7.8,6.94,0.88,0.26,A5III/IVm..,17.006798,1
9.35,3.19,1.39,0.36,F0V,16.868954000000002,1
5.63,100.24,0.68,0.804,K0V,20.635204,1
8.83,14.72,1.07,0.59,G0V,19.669538,1
8.06,27.87,0.69,0.8490000000000001,K0IV/V,20.285686,1
8.78,3.5,1.02,0.5760000000000001,F6V,16.500339999999998,1
10.74,28.69,3.28,1.101,K8V:,23.028651999999997,1
8.65,15.8,1.16,0.637,G5V,19.643284,1
8.53,7.21,1.14,0.909,K0V,17.819675,1
8.97,5.12,1.34,0.86,G8/K0V,17.51635,1
8.26,4.52,1.14,0.912,G8III/IV,16.535692,1
9.12,12.28,1.24,0.662,G5V,19.56599,1
8.11,17.29,1.09,0.635,G3V,19.298973,1
9.81,1.15,1.52,0.18,B1V:pe,15.113489000000001,1
8.67,6.87,1.05,0.36200000000000004,F3IV...,17.854784,1
8.43,3.65,0.75,0.616,F7IV,16.241464999999998,1
7.11,8.6,1.43,0.433,F5IV/V,16.782494,1
8.02,34.52,1.04,0.87,K0IV,20.710354000000002,1
8.18,9.48,1.05,0.48700000000000004,F7IV,18.064041,1
9.13,24.3,2.1,0.8740000000000001,K2V,21.058033,1
8.25,7.61,1.14,0.41600000000000004,F4V,17.656923000000003,1
7.28,11.08,0.73,0.342,F0IV,17.5027,1
8.22,16.29,1.62,0.83,G9V,19.279606,1
7.77,9.25,1.02,0.231,A5V,17.600707999999997,1
9.62,26.64,1.4,1.128,K5V,21.747671,1
6.27,13.84,0.52,0.44,F5Vs,16.975680999999998,1
9.19,6.09,1.22,0.636,G2V,18.113087,1
11.52,9.78,3.14,1.38,K7V:,21.471695,1
8.95,8.88,1.23,0.625,G2V,18.692064000000002,1
9.12,11.7,3.14,0.6759999999999999,G3V,19.460929999999998,1
9.38,2.39,1.51,1.0979999999999999,K4V,16.27199,1
8.35,6.55,1.18,0.478,F3V,17.431206,1
8.46,22.07,2.88,0.679,G3V,20.179012,1
8.71,19.4,1.25,0.657,G3V,20.14901,1
7.9,5.26,1.15,0.7440000000000001,G2IV/V,16.504929,1
8.38,6.8,0.92,0.494,F5IV/V,17.542545,1
9.99,3.69,1.45,0.532,F3/F5V,17.825129999999998,1
5.88,90.03,0.72,0.85,K0V,20.651936,1
9.21,6.73,1.24,0.5660000000000001,G0V,18.350075,1
6.15,31.39,1.03,0.603,G2V,18.633957000000002,1
7.34,19.39,1.5,0.473,F6V,18.77789,1
9.11,6.69,0.9,0.753,G5V,18.23713,1
10.26,2.84,2.22,0.439,F2V,17.526592,1
9.12,9.92,1.33,0.74,G5V,19.102558,1
9.72,14.49,1.48,0.845,K0V,20.525341,1
7.29,6.19,0.72,0.092,A2V,16.248453,1
8.47,4.12,1.02,0.503,F5V,16.544487,1
6.82,1.13,0.79,-0.055,B2IV-V,12.085392,1
8.1,4.01,1.05,0.9440000000000001,G8III/IV,16.115723000000003,1
9.35,4.95,1.32,0.67,G0V,17.823025,1
8.62,6.66,1.22,0.40299999999999997,F0V,17.737370000000002,1
8.77,6.29,1.56,0.539,F7V,17.763251999999998,1
8.57,6.08,1.18,0.301,A8V,17.489517000000003,1
9.86,3.04,3.26,0.495,F6/F7V,17.274368,1
7.9,13.71,1.21,0.6729999999999999,G3V,18.585188,1
8.42,4.44,0.95,0.47200000000000003,F3/F5V,16.656914,1
8.55,1.38,1.06,1.212,K1IV/VCN...,14.249395000000002,1
7.97,16.31,0.82,0.552,G0IV/V,19.032269,1
8.6,18.51,1.19,0.763,G8V,19.937033,1
7.83,4.04,0.71,0.17300000000000001,A4V,15.861907,1
7.72,7.74,0.91,0.701,F8V,17.163704,1
9.27,5.02,0.82,0.508,F5V,17.77352,1
8.98,3.36,1.48,0.966,K0IV,16.611696,1
5.98,49.3,1.05,0.687,G5V,19.444232999999997,1
9.32,7.66,1.38,0.546,F7V,18.741142,1
5.13,7.98,0.71,-0.128,B7III-IV,14.640015,1
9.68,3.53,1.42,0.326,A9V,17.418875,1
8.22,9.24,0.74,0.52,G0V,18.048359,1
9.15,8.21,2.41,0.424,F3V,18.721714000000002,1
9.7,-1.61,1.76,0.348,B6Ve,15.734129000000001,1
8.45,7.37,1.16,0.435,F3V,17.787338000000002,1
8.85,8.89,1.16,0.488,F7V,18.59451,1
9.51,14.64,1.1,0.74,G8V,20.337706,1
8.62,11.01,1.18,0.44799999999999995,F5V,18.828938,1
10.56,20.85,2.04,1.0859999999999999,K4V,22.15553,1
5.66,4.29,0.7,-0.113,B5V...,13.822287,1
9.71,0.87,1.53,0.915,G8IV/V,14.407597,1
8.78,-2.05,1.52,1.382,K2III/IV,15.338769000000001,1
7.91,7.61,0.95,0.423,F3V,17.316923000000003,1
9.32,4.32,1.37,0.5489999999999999,F6V,17.497417000000002,1
4.95,18.71,0.73,0.17,A5V,16.310368,1
9.91,2.79,2.37,0.446,F5V,17.138021,1
6.6,19.99,0.79,0.526,F8IV-V,18.104063,1
5.56,5.31,0.61,-0.054000000000000006,B8V,14.185472500000001,1
9.97,4.77,2.37,1.7,G8/K0IV/V,18.36259,1
4.74,10.49,0.77,0.032,A3V,14.843876000000002,1
7.6,9.44,1.08,0.49200000000000005,F6V,17.47486,1
10.2,-0.01,1.63,0.461,F3/F5V,5.2,1
8.88,13.81,1.21,0.568,F7/F8V,19.580969,1
9.49,7.26,1.35,0.524,F6V,18.794683,1
9.18,13.85,1.37,0.657,G3V,19.887249,1
6.84,21.86,0.53,0.5760000000000001,F8/G0V,18.53825,1
7.96,7.76,0.84,0.18100000000000002,A4V,17.40931,1
7.26,12.38,1.08,0.424,F3V,17.723602,1
8.4,22.59,0.82,0.7140000000000001,G6V,20.16958,1
9.83,4.59,1.67,0.5589999999999999,F7/F8IV,18.139065,1
9.12,3.97,1.13,0.535,F7V,17.113953,1
8.44,7.04,1.3,0.5329999999999999,F7V,17.677864000000003,1
8.58,16.89,1.41,0.648,G8/K0V:+...,19.718147000000002,1
6.91,1.07,0.56,-0.023,B1V,12.056919,1
8.07,16.11,0.92,0.517,F7V,19.105478,1
10.3,0.63,1.67,0.254,F0/F2V,14.296702999999999,1
7.91,31.35,1.28,0.799,K0V,20.391188,1
8.68,7.95,1.08,0.588,G2V,18.181835,1
8.87,3.55,1.12,0.545,F7V,16.621141,1
7.46,11.74,0.83,0.368,F2V,17.80834,1
9.26,3.98,1.36,0.433,F3V,17.259415,1
8.65,4.33,1.16,0.061,A1V,16.83244,1
9.24,1.99,1.22,0.133,A3IV/V,15.734264999999999,1
9.55,4.78,1.13,0.473,F5V,17.94714,1
7.58,13.76,1.03,0.516,F6V,18.273092000000002,1
9.07,17.5,1.23,0.7340000000000001,G5/G6V,20.28519,1
5.8,3.56,0.73,-0.095,B7III-IV,13.55725,1
8.75,1.62,1.07,0.7559999999999999,G8IV,14.797575,1
5.92,23.46,1.02,0.302,F2Vw,17.771639999999998,1
8.9,8.46,1.38,0.57,G0V,18.53685,1
9.1,3.83,1.17,1.169,K1IV,17.015995,1
9.87,8.07,1.72,0.623,G2/G3V,19.404367,1
8.4,15.59,1.43,0.5660000000000001,G2V,19.364231,1
8.47,23.55,1.01,0.446,F5V,20.329956,1
9.12,41.45,1.01,1.025,K4V,22.207623,1
9.55,45.4,1.55,1.2670000000000001,K4V,22.835279999999997,1
7.95,11.36,1.08,0.818,G8IV,18.22689,1
9.74,3.78,1.43,0.46299999999999997,F3V,17.627458999999998,1
8.01,7.14,1.01,0.988,G8III/IV,17.278492,1
8.16,7.28,0.99,0.488,F2/F3V,17.470657,1
8.85,3.09,1.15,0.048,A1V,16.299792999999998,1
6.91,22.23,0.64,0.65,G1/G2V,18.644697,1
9.23,2.6,1.32,0.32,B9V,16.304867,1
9.43,16.47,2.47,0.6679999999999999,K0V,20.51347,1
8.74,3.43,0.8,0.10400000000000001,A3V,16.41647,1
9.44,5.68,4.61,0.439,F3V,18.211742,1
7.5,8.63,1.04,0.488,F5/F6V,17.180054000000002,1
9.9,2.76,1.31,0.451,F3IV,17.104546,1
10.71,1.62,2.07,0.444,F7/F8V:,16.757576,1
9.27,16.21,1.36,0.804,K0V,20.318916,1
6.44,5.67,0.67,0.94,G8IV,15.207916,1
8.49,9.73,1.5,0.614,G0V,18.430564999999998,1
8.75,5.78,1.93,0.493,F5V,17.559639,1
8.81,4.94,1.14,0.157,A4IV,17.278637,1
8.72,3.68,0.92,1.192,K2III/IV,16.54924,1
9.21,7.62,1.3,0.40399999999999997,F2V,18.619774,1
9.22,8.43,1.11,0.514,F5V,18.849135999999998,1
8.68,9.91,1.15,0.45,F2V,18.66037,1
8.65,7.85,1.11,0.502,F5V,18.124348,1
8.51,7.73,1.21,0.5589999999999999,F7V,17.950897,1
8.74,-0.73,1.49,1.021,G8III/IV,13.056614,1
9.79,3.91,2.45,0.711,F8IV/V,17.750885,1
9.48,6.33,1.54,0.395,F2/F3V,18.487019,1
8.17,8.3,1.08,0.361,F0V,17.76539,1
8.64,10.08,1.71,0.9690000000000001,K0IV,18.657303,1
7.88,8.55,1.56,0.615,F7/F8V,17.53983,1
8.68,7.89,2.34,0.529,F5V,18.165385999999998,1
7.51,5.66,0.82,1.112,K1III-IV,16.274082,1
9.06,6.43,1.25,0.40399999999999997,F0V,18.101055,1
8.68,2.07,0.8,-0.052000000000000005,B9V,15.259851000000001,1
9.29,7.89,1.37,0.657,G5V,18.775385,1
7.94,16.94,0.61,0.522,F7V,19.084566,1
9.45,0.63,1.15,1.415,K3V,13.446703,1
6.7,1.66,0.61,-0.017,B1V,12.80054,1
8.16,7.89,1.06,0.424,F2V,17.645386,1
10.38,6.07,1.75,0.3,A8/A9V,19.295944,1
9.53,5.26,1.39,0.94,G8IV,18.134929999999997,1
8.08,12.7,0.94,0.42100000000000004,F3V,18.599018,1
9.36,2.79,1.4,0.586,F7V,16.58802,1
9.93,4.25,2.39,0.539,G2V,18.071945,1
8.89,16.87,1.39,0.774,G8V,20.025578,1
10.95,1.57,3.06,0.37,A0V,16.929499,1
9.51,13.04,2.32,0.677,G6V,20.086389999999998,1
8.95,32.38,0.87,0.888,K1V,21.501385,1
9.91,2.46,1.19,0.449,F0V,16.864676,1
8.36,10.72,0.83,0.45299999999999996,F5V,18.510975,1
9.31,10.55,1.26,0.632,G5V,19.426262,1
9.65,3.58,0.93,0.466,F0/F2IV/V,17.419415,1
8.62,8.15,1.18,0.365,F0V,18.175789,1
9.21,12.92,1.39,0.662,G3V,19.766312,1
9.85,4.39,1.85,0.652,G3V,18.062323000000003,1
8.2,8.59,0.86,0.8370000000000001,G8IV,17.869965,1
8.3,8.6,1.11,1.011,K0/K1IV,17.972492000000003,1
6.89,11.5,1.09,0.292,A9V,17.19349,1
7.64,4.43,0.73,-0.048,B9V,15.872019,1
9.32,7.88,1.1,0.423,F5V,18.802630999999998,1
9.63,7.02,1.47,0.586,G0V,18.861687,1
8.85,7.79,2.24,0.631,G3:V: + G2:,18.307688,1
7.57,10.89,0.82,0.43,F3V,17.755138,1
